,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
19,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,Missing,Missing,1,132,Job-Seekers
20,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-499,Pvt Ltd,1,68,Non Job-Seekers
21,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-499,Pvt Ltd,2,50,Non Job-Seekers
22,0.804,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,10,Missing,Missing,1,48,Non Job-Seekers
23,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,Non Job-Seekers
24,0.624,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,Non Job-Seekers
25,0.855,Unspecified,No relevent experience,no_enrollment,High School,No Major,4,No company,No company,never,22,Non Job-Seekers
26,0.624,Unspecified,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,Job-Seekers
27,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,Missing,Missing,2,72,Non Job-Seekers
28,0.887,Male,Has relevent experience,no_enrollment,High School,No Major,11,<10,Pvt Ltd,1,8,Job-Seekers
29,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,Job-Seekers
30,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,Pvt Ltd,3,40,Non Job-Seekers
31,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,Non Job-Seekers
32,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,Missing,Missing,1,24,Non Job-Seekers
33,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,Pvt Ltd,>4,82,Non Job-Seekers
34,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,Non Job-Seekers
35,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,2,206,Non Job-Seekers
36,0.926,Male,No relevent experience,Part time course,High School,No Major,1,10000+,Other,1,152,Non Job-Seekers
37,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-499,Pvt Ltd,4,42,Job-Seekers
38,0.92,Unspecified,No relevent experience,no_enrollment,Graduate,STEM,12,Missing,Missing,4,50,Non Job-Seekers
40,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,Non Job-Seekers
41,0.924,Male,Has relevent experience,no_enrollment,High School,No Major,4,10/49,Pvt Ltd,2,36,Non Job-Seekers
42,0.624,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,Job-Seekers
43,0.6659999999999999,Unspecified,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,Non Job-Seekers
44,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,Job-Seekers
45,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,No company,No company,never,26,Job-Seekers
46,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-499,Pvt Ltd,never,87,Job-Seekers
47,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,Job-Seekers
48,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,Missing,Missing,>4,20,Job-Seekers
49,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21,Non Job-Seekers
50,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,Missing,Missing,1,92,Job-Seekers
51,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-499,Pvt Ltd,2,102,Non Job-Seekers
52,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,Non Job-Seekers
53,0.924,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,Non Job-Seekers
54,0.926,Male,No relevent experience,Full time course,High School,No Major,4,10000+,Pvt Ltd,1,43,Non Job-Seekers
55,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,Pvt Ltd,1,45,Non Job-Seekers
56,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,Non Job-Seekers
57,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,2,19,Non Job-Seekers
59,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-499,Pvt Ltd,>4,26,Job-Seekers
60,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,Missing,Missing,1,90,Non Job-Seekers
61,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-499,Pvt Ltd,3,25,Non Job-Seekers
63,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-499,Pvt Ltd,>4,48,Non Job-Seekers
65,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,Job-Seekers
66,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,Non Job-Seekers
67,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Missing,Missing,>4,47,Non Job-Seekers
68,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,Non Job-Seekers
70,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,4,22,Non Job-Seekers
71,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,No company,No company,never,18,Job-Seekers
72,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29,Non Job-Seekers
73,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-499,Missing,1,46,Non Job-Seekers
74,0.55,Unspecified,No relevent experience,Full time course,Graduate,STEM,<1,No company,No company,never,12,Non Job-Seekers
75,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,5,100-499,Pvt Ltd,2,17,Non Job-Seekers
76,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,Non Job-Seekers
77,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1,35,Non Job-Seekers
78,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,Non Job-Seekers
79,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,Non Job-Seekers
80,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,Non Job-Seekers
81,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,Non Job-Seekers
82,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,1,136,Non Job-Seekers
83,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Missing,1,27,Non Job-Seekers
84,0.7959999999999999,Unspecified,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,Non Job-Seekers
85,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,86,Non Job-Seekers
86,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,83,Non Job-Seekers
87,0.92,Unspecified,No relevent experience,Full time course,High School,No Major,4,Missing,Missing,3,75,Non Job-Seekers
88,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,Missing,Public Sector,2,42,Non Job-Seekers
89,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-499,Missing,1,332,Non Job-Seekers
91,0.91,Male,No relevent experience,no_enrollment,High School,No Major,3,No company,No company,never,182,Non Job-Seekers
92,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1,13,Job-Seekers
93,0.682,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172,Job-Seekers
94,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,10,100-499,NGO,1,48,Non Job-Seekers
95,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,Non Job-Seekers
96,0.92,Unspecified,No relevent experience,Full time course,High School,No Major,2,100-499,Pvt Ltd,1,142,Non Job-Seekers
97,0.579,Unspecified,No relevent experience,Full time course,Graduate,STEM,2,100-499,Pvt Ltd,1,34,Non Job-Seekers
98,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,Job-Seekers
99,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27,Job-Seekers
100,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-499,Pvt Ltd,1,24,Job-Seekers
101,0.878,Unspecified,No relevent experience,no_enrollment,Masters,STEM,>20,Missing,Missing,1,150,Non Job-Seekers
102,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,Non Job-Seekers
103,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Missing,1,140,Non Job-Seekers
104,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,Non Job-Seekers
105,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,Non Job-Seekers
106,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,Non Job-Seekers
107,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,Job-Seekers
108,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,Non Job-Seekers
109,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,Missing,Missing,4,46,Non Job-Seekers
110,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,Non Job-Seekers
111,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,Non Job-Seekers
112,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,Missing,Missing,1,160,Job-Seekers
113,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,2,101,Non Job-Seekers
114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Missing,1,46,Non Job-Seekers
115,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,Non Job-Seekers
116,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-499,Pvt Ltd,2,26,Job-Seekers
117,0.698,Unspecified,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,Non Job-Seekers
118,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,Non Job-Seekers
119,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,Non Job-Seekers
120,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,Non Job-Seekers
121,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-499,Pvt Ltd,2,20,Job-Seekers
122,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-499,Pvt Ltd,2,8,Non Job-Seekers
123,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-499,Pvt Ltd,1,131,Non Job-Seekers
124,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,Missing,Missing,1,45,Non Job-Seekers
125,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,109,Non Job-Seekers
126,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1,70,Non Job-Seekers
127,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,NGO,>4,17,Non Job-Seekers
128,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,Non Job-Seekers
129,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,Job-Seekers
130,0.893,Unspecified,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,Non Job-Seekers
131,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-499,Pvt Ltd,>4,7,Non Job-Seekers
132,0.804,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,>20,100-499,Pvt Ltd,3,164,Non Job-Seekers
133,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,Missing,Missing,4,290,Non Job-Seekers
134,0.804,Male,No relevent experience,no_enrollment,High School,No Major,2,<10,NGO,never,145,Non Job-Seekers
137,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,Job-Seekers
138,0.55,Unspecified,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,1,20,Non Job-Seekers
139,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,Non Job-Seekers
140,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,Missing,Missing,4,21,Job-Seekers
141,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,Non Job-Seekers
142,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,Non Job-Seekers
143,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,>4,156,Non Job-Seekers
144,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,Non Job-Seekers
145,0.926,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,>20,No company,No company,never,120,Non Job-Seekers
146,0.769,Unspecified,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,Missing,>4,47,Non Job-Seekers
147,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Missing,Missing,2,100,Job-Seekers
148,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,Non Job-Seekers
149,0.92,Male,No relevent experience,no_enrollment,High School,No Major,4,No company,No company,never,52,Non Job-Seekers
150,0.926,Unspecified,Has relevent experience,no_enrollment,High School,No Major,9,10/49,Missing,4,39,Non Job-Seekers
151,0.92,Male,Has relevent experience,Full time course,High School,No Major,4,Missing,Missing,1,112,Job-Seekers
152,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,Non Job-Seekers
154,0.91,Unspecified,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,Non Job-Seekers
155,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,Job-Seekers
156,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Missing,Missing,>4,72,Non Job-Seekers
157,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,Job-Seekers
158,0.926,Male,No relevent experience,no_enrollment,High School,No Major,6,Missing,Pvt Ltd,never,28,Non Job-Seekers
159,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,Non Job-Seekers
160,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,Non Job-Seekers
161,0.939,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,>20,No company,No company,never,326,Non Job-Seekers
162,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-499,Pvt Ltd,2,33,Non Job-Seekers
163,0.804,Unspecified,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,Non Job-Seekers
164,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,18,Missing,Missing,1,198,Job-Seekers
165,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,Non Job-Seekers
166,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,Non Job-Seekers
167,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-499,Pvt Ltd,>4,11,Non Job-Seekers
168,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,Non Job-Seekers
169,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,Job-Seekers
170,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-499,Pvt Ltd,4,114,Non Job-Seekers
172,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,Non Job-Seekers
173,0.91,Unspecified,No relevent experience,Full time course,High School,No Major,3,Missing,Missing,1,8,Non Job-Seekers
174,0.878,Female,Has relevent experience,Part time course,High School,No Major,2,100-499,NGO,1,22,Non Job-Seekers
175,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,Non Job-Seekers
176,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,Non Job-Seekers
177,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,22,Non Job-Seekers
178,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,Non Job-Seekers
179,0.7759999999999999,Unspecified,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Funded Startup,1,11,Non Job-Seekers
181,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,Funded Startup,1,50,Non Job-Seekers
182,0.924,Male,No relevent experience,Full time course,High School,No Major,6,No company,No company,never,15,Non Job-Seekers
183,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,31,Non Job-Seekers
184,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,Non Job-Seekers
185,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,Non Job-Seekers
186,0.624,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,105,Job-Seekers
187,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,Non Job-Seekers
188,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,>4,42,Job-Seekers
189,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,Non Job-Seekers
190,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,Non Job-Seekers
191,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,No company,No company,never,8,Non Job-Seekers
192,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,Missing,Missing,3,17,Job-Seekers
193,0.923,Male,No relevent experience,no_enrollment,High School,No Major,1,Missing,Missing,1,33,Non Job-Seekers
194,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-499,Funded Startup,never,38,Non Job-Seekers
195,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,Non Job-Seekers
196,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,Non Job-Seekers
197,0.893,Male,Has relevent experience,no_enrollment,High School,No Major,>20,No company,No company,never,87,Non Job-Seekers
198,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,No company,No company,never,84,Non Job-Seekers
199,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-499,Early Stage Startup,2,32,Non Job-Seekers
200,0.887,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,9,100-499,Pvt Ltd,1,31,Job-Seekers
201,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,Non Job-Seekers
202,0.775,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1,12,Non Job-Seekers
203,0.624,Unspecified,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50,Non Job-Seekers
204,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-499,Pvt Ltd,1,55,Job-Seekers
206,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,Non Job-Seekers
207,0.92,Unspecified,Has relevent experience,Full time course,Graduate,Business Degree,>20,Missing,Missing,>4,90,Job-Seekers
208,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-499,Pvt Ltd,>4,8,Non Job-Seekers
209,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,No company,No company,never,102,Non Job-Seekers
210,0.624,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,<1,10/49,Pvt Ltd,1,202,Job-Seekers
211,0.555,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,4,100-499,Pvt Ltd,1,22,Non Job-Seekers
212,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,Missing,Pvt Ltd,never,42,Non Job-Seekers
213,0.92,Unspecified,No relevent experience,no_enrollment,Primary School,No Major,4,Missing,Pvt Ltd,never,50,Non Job-Seekers
214,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,Non Job-Seekers
215,0.754,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,Non Job-Seekers
216,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,Non Job-Seekers
218,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,Non Job-Seekers
219,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,Non Job-Seekers
220,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,Non Job-Seekers
221,0.926,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,Missing,>4,10,Non Job-Seekers
222,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,Non Job-Seekers
223,0.624,Unspecified,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36,Non Job-Seekers
225,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,No company,No company,never,80,Job-Seekers
226,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,Non Job-Seekers
227,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-499,Pvt Ltd,2,45,Non Job-Seekers
228,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,No company,No company,never,77,Non Job-Seekers
229,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-499,Pvt Ltd,2,8,Non Job-Seekers
230,0.878,Unspecified,No relevent experience,no_enrollment,Graduate,STEM,5,Missing,Missing,1,28,Non Job-Seekers
231,0.727,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-499,Funded Startup,>4,37,Non Job-Seekers
232,0.91,Unspecified,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,2,108,Job-Seekers
233,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162,Non Job-Seekers
234,0.754,Unspecified,Has relevent experience,Full time course,High School,No Major,9,Missing,Missing,>4,41,Non Job-Seekers
235,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-499,Pvt Ltd,4,4,Non Job-Seekers
236,0.884,Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,41,Non Job-Seekers
237,0.903,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,12,Non Job-Seekers
238,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,Non Job-Seekers
239,0.624,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,29,Job-Seekers
240,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-499,Public Sector,1,11,Non Job-Seekers
241,0.92,Male,No relevent experience,Full time course,High School,No Major,3,10000+,Pvt Ltd,1,30,Non Job-Seekers
242,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-499,Missing,>4,39,Non Job-Seekers
243,0.804,Male,Has relevent experience,Full time course,High School,No Major,9,Missing,Missing,1,16,Non Job-Seekers
244,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5,Non Job-Seekers
245,0.698,Male,No relevent experience,Full time course,High School,No Major,8,No company,No company,never,39,Non Job-Seekers
246,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,29,Non Job-Seekers
